station,country,HDI,elev,TPI,access_log10,Hansen_recentloss,bio01,PA,PA_size_km2,dist_to_PA,utm_east,utm_north,asymptPD,SR.mean,maxFRic,rh_95_a0.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
L7799028,Indonesia,0.72,5,0.078125,2.820322109,0,26.89726257,0,183.8364086,46.51007494,1691800.799,-136971.4742,3.652403599,136.375,281.8325646,13.73203921,2.033729413,2.353203733,0.487610095,3.870291536
L4404848,Indonesia,0.72,117,0.5546875,NA,0,26.4587326,0,8358.570219,135.9674258,857597.5204,283166.7608,2.35714762,49.90909091,186.6890907,15.01632837,2.346903373,2.380115769,0.467527927,3.852308632
L10869913,Indonesia,0.72,1,1.4296875,NA,0,NA,0,30.63636865,65.22118342,1777509.456,135214.9353,2.294394463,33.33766234,132.846231,20.34657429,2.790434697,2.929848293,0.613678364,4.621945268
L11675018,Laos,0.61,802,-1.5390625,3.677322586,0,21.54658318,1,879.7747269,NA,1450286.2,2317562.797,3.004873882,121.7252747,340.7328604,17.3024305,3.261134417,2.789136174,0.664774269,4.592286548
L11134782,Laos,0.61,163,-0.125,3.786803048,0,25.62937355,0,680.8526769,27.35985048,1522125.387,1999598.578,3.162982491,143.4973545,287.4124701,2.392196791,0.084501745,1.407741074,0.033567908,2.419425591
L6664061,Laos,0.61,439,-2.8046875,3.228190537,0,24.67195702,0,879.7747269,80.63164658,1455877.268,2220576.906,2.542973949,80.86666667,246.1620767,17.80188242,3.265631395,2.810253858,0.626229085,4.536700631
L7147171,Laos,0.61,893,-3.9296875,4.005944171,0,22.42015839,0,942.7235755,0.005754712,1921388.523,1721593.714,2.107359136,132.8947368,300.9761941,18.07543749,2.509451824,2.735698052,0.599692297,4.390264106
L11773124,Laos,0.61,1226,9.4375,4.308479874,0,19.7485981,0,4817.660657,44.81927356,1577063.131,2181231.763,2.29083619,84.42592593,175.0715185,6.867546928,0.526957116,2.129616238,0.195260167,3.161325394
L11924843,Laos,0.61,176,-2.0859375,4.101199942,0,23.4656868,1,2377.368602,NA,1752135.639,2025572.214,2.327409025,86.05777778,257.6131217,26.94879748,3.10368088,3.109110393,0.710485315,5.111754899
L11046665,Laos,0.61,197,-2.6640625,3.990570409,0,25.07143974,1,680.8526769,NA,1495846.124,2019612.325,4.097602479,157.5516304,224.6493149,7.026639492,1.185870833,2.09506986,0.311297073,2.902561443
L10769575,Laos,0.61,215,-3.234375,4.607831768,0,25.18868065,0,2377.368602,2.944958358,1772646.289,1969825.827,2.269965332,75.878125,274.2715135,26.13797912,3.276877477,2.888206983,0.7246802,5.116313422
L10928961,Laos,0.61,233,0.2578125,4.014852854,0,25.07143974,0,680.8526769,0.660252072,1504350.878,2019316.818,3.590102523,78.55555556,249.2474805,4.237409042,0.503496524,1.893446137,0.172654108,1.812754136
L10963619,Laos,0.61,167,-0.3671875,4.051499329,0,25.62937355,0,680.8526769,23.63149532,1525896.414,2013266.315,2.448860429,115.8895238,249.5185734,3.361087738,0.235040984,1.625609448,0.077764473,2.629708462
L10359433,Laos,0.61,185,2.5234375,3.899197824,0,26.37015724,0,50.34680849,17.80231065,1770900.629,1875260.294,2.06805881,69.1,152.5123645,22.63266382,2.837367068,2.900354894,0.658388402,4.840598539
L13729745,Laos,0.61,968,-5.8046875,4.316684608,0,19.11981392,0,4817.660657,24.30632718,1658358.313,2296136.561,2.193473796,89.8287037,207.8040066,7.797954923,2.26451922,2.309084994,0.417612188,3.67908771
L12871808,Laos,0.61,548,-5.34375,4.434051112,0,22.86752319,0,879.7747269,83.42019091,1456848.263,2217826.995,2.414427101,110.75,244.7460141,23.65098156,3.901740734,3.026409843,0.744341291,4.900247528
L3554262,Malaysia,0.81,354,9.46875,NA,0,26.58503151,0,0.603032237,16.9301732,1255797.513,708730.5039,2.515316829,97.88049451,207.5674664,34.00936002,4.628798214,3.190145541,0.888357354,5.595359587
L3547703,Malaysia,0.81,35,-0.109375,4.392158181,0,27.47807693,0,2.481081468,4.601657834,1327615.331,601583.745,3.829074371,182.0909091,232.6031589,3.787986746,0.203958577,1.680062792,0.093933193,2.67059091
L3409581,Malaysia,0.81,6,-0.1328125,4.079973513,0,26.92436218,0,6.34654875,19.74152631,1590397.704,210942.4341,5.281462311,176.2222222,235.1539066,11.18205606,1.716503385,2.441300035,0.510688774,3.92150792
L3348821,Malaysia,0.81,61,-0.8046875,4.437908757,0,27.03678703,0,2.481081468,10.58866591,1341879.288,604952.7875,3.897171016,100.0416667,233.9679004,3.607661427,0.454471202,1.715107039,0.110102694,2.738856141
L3346656,Malaysia,0.81,68,-2.265625,3.830921381,0,27.43308258,0,2.933062985,20.36113536,1338911.401,575329.774,4.397761108,266.7876588,305.3764218,22.97455032,3.288328633,2.976790869,0.750077496,4.947198563
L1777142,Malaysia,0.81,1,-0.0625,3.100240009,0,NA,0,40.92922172,34.05682815,1329309.803,549889.1233,4.837496556,160.7809524,206.1162668,8.990867017,2.689443141,2.207312045,0.56446844,3.816651254
