study_area,station,country,HDI,elev,TPI,access_log10,Hansen_recentloss,bio01,PA,PA_size_km2,dist_to_PA,utm_east,utm_north,maxFRic,asymptPD,SR.mean,rh_95_a0.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
Baleh,BalNP004,Malaysia,0.81,302,-9.5625,3.129199034,0,23.01250076,0,8228.034165,23.50411203,2932726.946,186103.4372,0,1.25,7.64,36.36076226,4.719328713,3.20797764,0.869951147,5.605506224
Baleh,BalNP005,Malaysia,0.81,427,-2.0859375,2.867632039,0,23.44168282,0,8228.034165,20.69482874,2928604.775,185774.436,0,1.84375,4.48,33.6933593,4.966250573,3.168968857,0.893541539,5.536062557
Baleh,BalNP006,Malaysia,0.81,319,-1.515625,2.837855932,0,24.4174118,0,8228.034165,9.606747446,2909265.709,183934.9002,10.84849641,2.01875,11.88461538,30.70721685,4.227003989,3.124127487,0.817839856,5.245623411
Baleh,BalNP007,Malaysia,0.81,426,-3.734375,2.800278103,0,24.4174118,0,8228.034165,8.661956712,2909720.28,182803.6356,0,1.125,6.961538462,32.45658889,4.568823287,3.16439663,0.866278215,5.400533588
Baleh,BalNP008,Malaysia,0.81,426,-3.734375,2.800278103,0,24.4174118,0,8228.034165,8.028510979,2909700.052,182109.7109,0,1.63125,3.96,33.85911167,4.665856587,3.184979076,0.870679819,5.478142382
Baleh,BalNP009,Malaysia,0.81,482,-11.8984375,2.714405283,0,24.4174118,0,8228.034165,7.223718599,2910142.851,181068.3772,0,1.96875,6.884615385,35.11178063,4.571241647,3.198897788,0.86197399,5.51485826
Baleh,BalNP010,Malaysia,0.81,277,-6.8359375,2.975277927,0,24.4174118,0,8228.034165,8.930920014,2907846.578,183392.3795,0,1,11.76923077,33.40158278,4.148364276,3.153585723,0.816798143,5.364694732
Baleh,BalNP011,Malaysia,0.81,482,1.484375,2.663721998,0,24.4174118,0,8228.034165,5.75011325,2908607.443,179863.2076,30.54213093,3.64140625,30.01923077,38.36499249,4.699442638,3.21921799,0.88293069,5.694059526
Baleh,BalNP012,Malaysia,0.81,183,-5.953125,3.155141805,0,24.4174118,0,8228.034165,9.949634395,2905926.66,184423.933,25.16399453,3.0515625,17.275,42.47836882,4.140410084,3.17990359,0.797291442,5.726257359
Baleh,BalNP013,Malaysia,0.81,243,2.953125,2.85625947,0,24.4174118,0,8228.034165,8.061270023,2903610.494,182295.4904,44.44473923,4.33125,29.42307692,40.2882876,4.246964801,3.193385454,0.822220529,5.710618382
Baleh,BalNP014,Malaysia,0.81,641,1.65625,2.537658831,0,23.01250076,0,8228.034165,33.12779309,2947510.432,182250.1174,43.33202452,4.126925223,22,34.81756971,5.02517921,3.205063208,0.892403527,5.591583829
Baleh,BalNP015,Malaysia,0.81,580,2.75,1.986037314,0,23.01250076,0,8228.034165,34.49473417,2949420.793,181429.9627,42.45815544,4.082393973,25,34.81618355,5.207120401,3.168174688,0.879772167,5.543393423
Baleh,BalNP016,Malaysia,0.81,641,1.65625,2.537658831,0,23.01250076,0,8228.034165,33.13126036,2947516.462,182245.4273,17.7635607,3.11640625,16.71428571,34.81777027,5.025151266,3.204977074,0.892403716,5.591408729
Baleh,BalNP017,Malaysia,0.81,641,1.65625,2.537658831,0,23.01250076,0,8228.034165,33.11432189,2947502.249,182232.2049,NA,NA,NA,34.86023651,5.024537672,3.205717642,0.892463038,5.593809806
Baleh,BalNP018,Malaysia,0.81,550,12.6796875,2.636141787,0,23.01250076,0,8228.034165,32.92095381,2947311.777,182148.1976,NA,NA,NA,35.26162273,5.018770435,3.213051909,0.893108583,5.616155219
Baleh,BalNP019,Malaysia,0.81,482,1.484375,2.663721998,0,24.4174118,0,8228.034165,5.728347365,2908607.686,179839.4949,NA,NA,NA,38.31867885,4.701076317,3.218696239,0.882991569,5.692149199
UluBaram,Bar001,Malaysia,0.81,1510,3.0703125,2.210546181,0,21.06974792,0,12808.36857,6.321718321,3072014.972,420672.2597,12.48136195,3.3578125,20.82352941,36.1300362,4.817376475,3.277688659,0.899906697,5.834939324
UluBaram,Bar002,Malaysia,0.81,890,-4.6953125,2.198442585,0,21.06974792,0,12808.36857,4.389575805,3069581.538,434727.5342,17.93514079,2.8984375,29.88970588,28.82874135,4.170215976,3.206445302,0.847251222,5.392319787
UluBaram,Bar003,Malaysia,0.81,470,2.1015625,2.743263905,0,20.22792435,0,669.8557035,1.550079906,3058394.982,449247.9169,47.24312548,3.871679688,22.87352941,34.14657288,3.980079474,3.085321635,0.791228862,5.27791172
UluBaram,Bar004,Malaysia,0.81,2030,0.765625,2.363261191,0,23.61271858,0,12808.36857,19.42725219,3032424.507,383174.7604,0,1.5,13.82857143,29.39466775,3.941092825,3.054644638,0.767135058,5.216630421
UluBaram,Bar005,Malaysia,0.81,1841,-10.8828125,2.453572138,0,23.61271858,0,12808.36857,16.05289395,3031592.657,378568.6019,15.7908952,3.1015625,17.18571429,31.53755907,3.969895419,3.089057774,0.78520553,5.322769516
UluBaram,Bar006,Malaysia,0.81,1904,-2.2265625,2.780553615,0,23.61271858,0,12808.36857,16.88081475,3031805.93,379756.0529,21.2418539,3.6078125,15.24285714,30.94998553,3.96025726,3.078150076,0.77945934,5.295080297
UluBaram,Bar007,Malaysia,0.81,1275,-5.140625,2.68481439,0,23.2333889,0,12808.36857,13.91069391,3053548,383672.169,41.2782459,3.790104167,17.18382353,12.2835662,2.012178148,2.472528424,0.501809894,3.840162509
UluBaram,Bar008,Malaysia,0.81,1272,-0.2578125,2.278922447,0,20.79046631,0,12808.36857,0.751889204,3067680.313,385771.1466,9.326556162,2.809895833,22.21176471,30.83108387,4.433592349,3.154096409,0.83001891,5.391978767
UluBaram,Bar009,Malaysia,0.81,199,6.2109375,2.205992445,0,25.00913811,0,942.5879321,14.81482016,3021912.668,459144.6729,46.71885226,3.143229167,16.87428571,43.63721463,4.633846964,3.242793221,0.873418081,5.883473622
UluBaram,Bar010,Malaysia,0.81,289,11.828125,2.189346351,0,25.00913811,0,942.5879321,13.97673956,3021577.802,460425.0489,22.87036313,3.0640625,17.36764706,47.52453385,4.710755642,3.206410443,0.872857634,5.977013244
UluBaram,Bar072,Malaysia,0.81,170,12.1015625,2.175425417,0,24.2672348,0,942.5879321,16.12157349,3021957.31,456626.4915,52.69045627,3.6765625,24.95,39.94340819,4.63374091,3.235010988,0.875944593,5.747441859
UluBaram,Bar074,Malaysia,0.81,1841,-10.8828125,2.453572138,0,23.61271858,0,12808.36857,16.44544293,3031049.098,378711.6077,14.03988632,2.9765625,17.12195122,31.29615094,3.974264233,3.086777404,0.783739398,5.310573107
UluBaram,Bar078,Malaysia,0.81,266,-4.2578125,3.158674613,0,25.00913811,0,942.5879321,9.292108771,3021362.1,473792.0145,24.51152128,3.0421875,21.38461538,30.04101293,4.397977964,2.9934948,0.812115923,5.242520653
UluBaram,Bar080,Malaysia,0.81,158,-8.0546875,2.186187851,0,24.2672348,0,942.5879321,17.11521551,3022013.965,454980.2716,25.59774864,2.78125,37.61538462,38.32675677,4.563765585,3.224504626,0.872642664,5.678780774
UluBaram,Bar081,Malaysia,0.81,1828,0.1875,3.277019612,0,23.61271858,0,12808.36857,17.50641457,3036882.847,382524.0486,39.28927704,3.770030382,21.95,34.97140683,4.476155083,3.190436683,0.854586506,5.56061392
UluBaram,Bar082,Malaysia,0.81,891,6.03125,2.204618074,0,21.06974792,0,12808.36857,3.5392655,3070176.732,435880.7746,16.13141987,3.1078125,15.19642857,30.2762177,4.564007247,3.230808784,0.878114602,5.5043677
UluBaram,Bar083,Malaysia,0.81,1503,0.609375,2.773870287,0,19.27302551,0,12808.36857,5.962285342,3069610.921,413905.7495,46.72973144,3.708398438,25.38157895,30.20833959,4.621998915,3.167154612,0.883796161,5.386035307
UluBaram,Bar085,Malaysia,0.81,1817,-3.6015625,2.390106073,0,23.61271858,0,12808.36857,16.96571712,3029793.631,378480.1849,5.492800837,3.274479167,24.75609756,31.30842176,4.025450272,3.095297383,0.788992942,5.316786086
UluBaram,Bar086,Malaysia,0.81,153,2.5703125,2.074037382,0,24.2672348,0,669.8557035,17.48502626,3022203.54,448824.1905,44.98485269,3.823958333,26.55897436,35.95133044,4.574639324,3.181306675,0.869590298,5.580990888
Bako,BNP_004_SIBUR_4m,Malaysia,0.81,3,-2.40625,0.340793056,0,26.81186104,1,25.81887173,NA,2475503.787,199688.8345,18.19511005,3.375173611,7.956521739,22.59206373,4.102588085,2.996880407,0.818269637,4.965145778
Bako,BNP_005_13m,Malaysia,0.81,1,-2.0390625,0.036932592,0,26.81186104,1,25.81887173,NA,2472012.128,200368.5874,12.84704939,1.7453125,5.958333333,17.89200975,3.401594576,2.710658199,0.693847698,4.469678038
Bako,BNP_006_Sibur_5m,Malaysia,0.81,1,-2.0234375,-0.081750277,0,26.81186104,1,25.81887173,NA,2475925.917,199704.4268,0,1.125,13.73913043,22.94369357,4.102000335,2.993306713,0.821939,4.969795823
Bako,BNP_019_20m,Malaysia,0.81,17,0.1953125,0.471099068,0,26.81186104,1,25.81887173,NA,2474532.478,199773.5269,0,1.7578125,6.958333333,18.38006399,3.492116682,2.781056983,0.706849637,4.543584053
Bako,BNP_139_Sibur_1m,Malaysia,0.81,1,-2.0234375,-0.081750277,0,26.81186104,1,25.81887173,NA,2475721.739,199708.2881,12.79652312,2.8828125,10.91304348,22.77340597,4.096940426,2.994151027,0.819410933,4.964941334
Bako,BNP_141_12m,Malaysia,0.81,40,-4.53125,0.077021369,0,26.81186104,1,25.81887173,NA,2471042.59,199914.3402,12.76961023,1.95625,6.479166667,18.46387506,3.57150403,2.75960119,0.737759196,4.557137235
Bako,BNP_153,Malaysia,0.81,0,2.7421875,0.114347447,0,26.81186104,1,25.81887173,NA,2472729.87,200320.9244,0,1.96875,6.916666667,16.79889405,2.776880502,2.67726859,0.589990514,4.274645315
Bako,BNP_156_n,Malaysia,0.81,40,-4.53125,0.077021369,0,26.81186104,1,25.81887173,NA,2471198.632,199816.1443,0,1.84375,7.869565217,18.62996004,3.673721062,2.78526706,0.764211877,4.629081624
Bako,BNP_42_ASSAM,Malaysia,0.81,111,-1.859375,0.443125109,0,26.81186104,1,25.81887173,NA,2471456.629,198676.9698,0,1.96875,12.875,19.31329954,3.329826566,2.743871492,0.7396702,4.583714302
Bako,BNP_NOCC3,Malaysia,0.81,111,-1.859375,0.443125109,0,26.81186104,1,25.81887173,NA,2471098.624,198300.4102,0,1.1125,4.489361702,31.44127357,3.606346766,3.145291694,0.77595148,5.454012954
Bako,BNP018_Assam_13m,Malaysia,0.81,111,-1.859375,0.443125109,0,26.81186104,1,25.81887173,NA,2470864.338,198782.6591,0,1,3,21.31346494,3.43970097,2.911786286,0.708217209,4.649804831
KapitFMU,C1A09,Malaysia,0.81,192,-8.3828125,2.242035867,0,24.35100746,0,8228.034165,23.54631472,2762782.053,211453.1117,0,0,5.964285714,33.30058058,4.232042016,3.139160673,0.838369375,5.415805067
KapitFMU,C1A21,Malaysia,0.81,211,-1.875,2.612595712,0,24.35100746,0,8228.034165,20.94293073,2757851.941,208939.3724,12.57780581,2.85625,11.96428571,32.98120454,4.380847528,3.140899272,0.854856022,5.431603255
KapitFMU,C1A22,Malaysia,0.81,154,6.8359375,2.269983157,0,24.35100746,0,8228.034165,24.7175241,2755832.585,212773.3198,NA,NA,NA,31.8435492,4.352427329,3.118192333,0.851145956,5.35858648
KapitFMU,C1A24,Malaysia,0.81,199,0.109375,3.090667763,0,24.35100746,0,8228.034165,21.96397416,2757177.632,209978.3355,17.46753886,2.2265625,19.67857143,32.72286703,4.370985292,3.133380744,0.853932105,5.414213452
KapitFMU,C1A28,Malaysia,0.81,188,-5.59375,2.984756149,0,24.35100746,0,8228.034165,23.42944105,2757290.066,211543.5331,32.54469003,2.988606771,27.77884615,32.36250287,4.344406957,3.126664771,0.849863607,5.393170921
KapitFMU,C1A29,Malaysia,0.81,128,-1.8359375,2.46478662,0,24.35100746,0,8228.034165,27.16898049,2754715.801,215241.3495,17.87667903,2.9953125,21.02678571,31.09061687,4.354741006,3.109668226,0.850203833,5.340223524
KapitFMU,C1A33,Malaysia,0.81,199,-5.34375,3.22330038,0,24.35100746,0,8228.034165,21.20808593,2756312.101,209086.7071,44.05561691,3.6203125,23.78571429,32.81051856,4.402087322,3.136007175,0.85891097,5.423478623
KapitFMU,C1A35,Malaysia,0.81,191,6.765625,2.059973474,0,24.35100746,0,8228.034165,23.88748898,2759532.139,212086.4778,0,1.96875,7.892857143,32.49830736,4.295816163,3.126381828,0.842569817,5.387993853
KapitFMU,C1A38,Malaysia,0.81,166,4.0078125,2.224701755,0,24.35100746,0,8228.034165,24.08231985,2756360.208,212156.158,12.06931356,2.34375,3,32.06292358,4.351973731,3.121359694,0.850948523,5.365512992
KapitFMU,C1A40,Malaysia,0.81,154,6.8359375,2.269983157,0,24.35100746,0,8228.034165,25.43386145,2756308.322,213590.0752,0,1.96875,7.892857143,31.68797504,4.336973674,3.116202305,0.848033518,5.354544641
KapitFMU,C1A42,Malaysia,0.81,190,-5.59375,2.094214735,0,24.35100746,0,8228.034165,22.28161144,2756381.941,210239.8031,25.28047196,3.54765625,13.84090909,32.56245101,4.378481246,3.130121728,0.855400483,5.403986291
KapitFMU,C1A45,Malaysia,0.81,204,13.9765625,2.044462612,0,24.35100746,0,8228.034165,22.20417132,2759647.092,210300.2137,57.59964391,3.540104167,27.05357143,32.98580312,4.316134104,3.135463295,0.846322125,5.414188297
KapitFMU,C1A47,Malaysia,0.81,196,5.8125,2.082738569,0,24.35100746,0,8228.034165,21.38035381,2762677.975,209146.5212,35.22217687,3.122395833,20.33928571,33.98208402,4.24608625,3.143666757,0.839908368,5.454013869
KapitFMU,C1A48,Malaysia,0.81,205,5.7578125,2.090608653,0,24.35100746,0,8228.034165,21.1470936,2761116.315,209093.66,17.68741219,2.51875,19.96153846,33.59536277,4.297795493,3.141271916,0.844218428,5.444511829
KapitFMU,C1A50,Malaysia,0.81,172,0.03125,2.993444707,0,24.35100746,0,8228.034165,24.57245568,2758104.022,212799.2803,29.05899855,3.053125,14.92857143,32.08371912,4.310077823,3.120062582,0.844328554,5.359725329
KapitFMU,C1B01,Malaysia,0.81,176,1.28125,2.91137927,0,24.35100746,0,8228.034165,23.81181772,2756694.397,211901.2785,0,1.96875,11.36363636,32.17762668,4.35082943,3.123226141,0.850672249,5.37590578
KapitFMU,C1B07,Malaysia,0.81,191,6.765625,2.059973474,0,24.35100746,0,8228.034165,23.80196147,2759639.7,211993.6215,0,1.75,9.9375,32.53264822,4.292593193,3.126879637,0.842477379,5.388367259
KapitFMU,C1B12,Malaysia,0.81,192,-2.1640625,2.033183344,0,24.35100746,0,8228.034165,22.32040673,2763615.314,209992.2408,0,0,9.8125,34.14818206,4.211724586,3.148895918,0.838901269,5.457404791
KapitFMU,C1B13,Malaysia,0.81,190,-5.59375,2.094214735,0,24.35100746,0,8228.034165,22.03914027,2755770.494,209903.6799,7.909089658,3.280729167,10.96969697,32.61337135,4.39811266,3.130267583,0.858298586,5.414271852
KapitFMU,C1B15,Malaysia,0.81,193,-4.484375,2.09320356,0,24.35100746,0,8228.034165,20.49650606,2763578.249,208027.4284,8.927216328,2.235416667,14.8125,34.29735289,4.213158441,3.141585343,0.836224056,5.457166839
KapitFMU,C1B16,Malaysia,0.81,194,3.125,2.084103991,0,24.35100746,0,8228.034165,22.08701033,2763357.21,209789.356,23.63447101,2.85,10.14285714,34.1096314,4.222540738,3.14785383,0.839119925,5.465819057
KapitFMU,C1B20,Malaysia,0.81,190,-5.59375,2.094214735,0,24.35100746,0,8228.034165,21.99368267,2755782.853,209856.7875,13.70800882,3.347395833,12.16161616,32.62602408,4.399150147,3.130544741,0.858389893,5.415057862
KapitFMU,C1B21,Malaysia,0.81,204,13.9765625,2.044462612,0,24.35100746,0,8228.034165,22.41493266,2759644.565,210523.6318,0,1.5,22.109375,32.92893815,4.313101905,3.13444021,0.845919117,5.407679483
KapitFMU,C1B24,Malaysia,0.81,190,-6.765625,2.030853554,0,24.35100746,0,8228.034165,22.94829874,2764378.73,210518.4637,23.83679542,3.3265625,30.4375,34.34477976,4.189839608,3.155954622,0.838832393,5.477485991
KapitFMU,C1B27,Malaysia,0.81,213,14.5390625,2.029777368,0,24.35100746,0,8228.034165,21.47913314,2758862.839,209538.7163,0,1.125,5.90625,33.04607113,4.350338047,3.13912419,0.850493609,5.434955727
KapitFMU,C1B32,Malaysia,0.81,154,6.8359375,2.269983157,0,24.35100746,0,8228.034165,25.34488232,2755529.584,213404.7786,12.87790244,2.35,12.359375,31.63130105,4.353780191,3.115462972,0.850921223,5.35164134
KapitFMU,C1B34,Malaysia,0.81,219,-4.7265625,2.096435593,0,24.35100746,0,8228.034165,20.5070918,2759667.349,208501.1076,NA,NA,NA,33.39893047,4.35018121,3.143239284,0.84997845,5.443526132
KapitFMU,C1B38,Malaysia,0.81,192,-2.1640625,2.033183344,0,24.35100746,0,8228.034165,22.41603772,2763827.677,210053.4576,17.94461519,2.631835938,14.453125,34.23736512,4.205899124,3.151018853,0.838804463,5.466689661
KapitFMU,C1B39,Malaysia,0.81,199,-11.7265625,2.106184971,0,24.35100746,0,8228.034165,21.2384737,2762324.009,209048.4397,NA,NA,NA,33.87672947,4.257069916,3.14207222,0.84080081,5.440056657
KapitFMU,C1B47,Malaysia,0.81,204,13.9765625,2.044462612,0,24.35100746,0,8228.034165,21.90905249,2759769.003,209984.0606,0,1.84375,12.1796875,33.0874926,4.320822498,3.137162204,0.846755635,5.422376605
KapitFMU,C1B49,Malaysia,0.81,189,-1.609375,2.122643185,0,24.35100746,0,8228.034165,23.68981179,2759084.803,211881.4569,0,1.96875,9.363636364,32.48439194,4.305246492,3.126620621,0.844124236,5.387646505
KapitFMU,C1CT05,Malaysia,0.81,164,-6.0625,2.180248572,0,24.35100746,0,8228.034165,24.65975299,2757074.205,212834.542,0,1,3.916666667,31.97660636,4.332130276,3.120126307,0.847623059,5.363059213
KapitFMU,C1CT11,Malaysia,0.81,196,-14.40625,2.083932155,0,24.35100746,0,8228.034165,23.38731962,2760473.46,211520.9308,6.710765861,2.999479167,14,32.82184164,4.283872892,3.131537882,0.841723006,5.410696393
KapitFMU,C1CT18,Malaysia,0.81,178,-8.328125,3.153042958,0,24.35100746,0,8228.034165,24.76464565,2758728.66,213018.1004,25.00825463,3.245833333,14.48076923,32.12136259,4.296971857,3.119867595,0.84193923,5.3692839
KapitFMU,C1CT21,Malaysia,0.81,192,-8.3828125,2.242035867,0,24.35100746,0,8228.034165,22.986908,2763192.04,210787.311,60.59493583,3.533072917,12.96,33.68284725,4.222430017,3.144127511,0.838901018,5.430007992
KapitFMU,C1CT27,Malaysia,0.81,154,6.8359375,2.269983157,0,24.35100746,0,8228.034165,25.10632678,2755910.554,213197.4989,17.57055337,2.8515625,9.88,31.7366489,4.345785473,3.116767282,0.849896367,5.353144506
KapitFMU,C1CT33,Malaysia,0.81,188,-5.59375,2.984756149,0,24.35100746,0,8228.034165,23.06164225,2756975.312,211128.403,10.28719443,2.21875,25.01923077,32.43089701,4.354593176,3.127354618,0.851590001,5.395281627
KapitFMU,C1CT40,Malaysia,0.81,207,-11.6953125,2.988432825,0,24.35100746,0,8228.034165,20.88915656,2757202.292,208838.0099,23.55171079,3.3265625,22.88,32.92285553,4.392464979,3.140461177,0.857072149,5.427202747
KapitFMU,C1CT42,Malaysia,0.81,190,-5.59375,2.094214735,0,24.35100746,0,8228.034165,21.90720514,2755594.901,209737.0922,2.247421856,2.432291667,18.76,32.62819403,4.399171268,3.129759744,0.858648647,5.411889938
KapitFMU,C1CT45,Malaysia,0.81,204,13.9765625,2.044462612,0,24.35100746,0,8228.034165,22.28752462,2759799.981,210384.2657,54.20672811,3.3578125,14.48,32.98613651,4.312396655,3.135354447,0.845780448,5.41389981
KapitFMU,C1CT49,Malaysia,0.81,199,-7.6171875,2.049700594,0,24.35100746,0,8228.034165,23.25525524,2758664.08,211418.0352,49.01625934,3.896875,20.32,32.5469708,4.319242084,3.128542781,0.846319584,5.392808608
KapitFMU,C1CT50,Malaysia,0.81,223,-13.8984375,2.105251454,0,24.35100746,0,8228.034165,20.53597584,2758661.097,208536.8679,17.91647875,2.414583333,52.56,33.16611447,4.373188689,3.143995289,0.853388422,5.441578175
KapitFMU,C24A01,Malaysia,0.81,105,4.140625,2.35940835,0,25.69333649,0,8228.034165,34.91347102,2758105.622,223759.1022,15.95816069,2.359375,11.92,29.2295118,4.071692173,3.036751626,0.789051411,5.228439335
