station,lat,long,country,elev,slope,TPI,access,access_log10,Hansen_recentloss,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,PA,PA_size_km2,dist_to_PA,PA_year,utm_east,utm_north,asymptPD,SR.mean,maxFRic,rh_95_a0.pred,pavd_0_5.pred,pai_a0.pred,fhd_pai_1m_a0.pred,cover_a0.pred,agbd_a0.pred
L4491300,4.5589925,101.1312693,Malaysia,55,6.766498566,-4.8359375,24596.02734,4.390864967,0,27.14170074,10.09533501,0.864993095,0.00118031,33.09999847,21.42900085,11.67099953,26.79352379,27.31694984,27.61005402,26.69124603,2540,73.0802002,33.03639984,0.249157682,839.3833008,477.046814,672.9309082,731.4650879,154.0197296,182.8999939,126.1299973,0.114257261,131.2016907,154.3206177,169.1307678,137.865921,1.248166919,1.518955946,1.078852654,0.108999684,1.433691859,1.11920166,1.266649246,1.343261123,0,196.3032679,12.18614555,2007,1404987.612,509046.795,2.480042153,150.5806452,148.0748369,30.18432436,0.112909509,4.387766873,3.070061016,0.808320376,5.535569455
L924266,3.6940749,101.7484923,Malaysia,931,14.33641911,7.609375,17447.98828,4.241745361,0,22.80659294,9.808695793,0.878813028,0.001477652,28.39999962,17.23870087,11.16129971,22.5556469,23.00716591,23.33655357,22.17373466,2653.000244,77.09649658,30.60779953,0.264977455,891.7755737,436.2330933,652.3845825,704.5045166,149.3687897,179,117,0.123004854,125.9375381,149.640152,163.5852356,148.5491486,1.304482698,1.586323977,1.088458896,0.110527925,1.497162938,1.120439649,1.286757588,1.345754623,0,935.5445502,0.047409711,2007,1475269.844,413137.6968,4.033854894,242.5096154,359.3871618,32.78846279,0.134275592,4.532517256,3.150674169,0.83616673,5.599088288
L2989750,3.6881811,101.7480651,Malaysia,921,12.18529129,-4.1953125,19672.35547,4.293856363,0,22.80659294,9.808695793,0.878813028,0.001477652,28.39999962,17.23870087,11.16129971,22.5556469,23.00716591,23.33655357,22.17373466,2653.000244,77.09649658,30.60779953,0.264977455,891.7755737,436.2330933,652.3845825,704.5045166,149.3687897,179,117,0.123004854,125.9375381,149.640152,163.5852356,148.5491486,1.304482698,1.586323977,1.088458896,0.110527925,1.497162938,1.120439649,1.286757588,1.345754623,1,935.5445502,NA,2007,1475228.379,412478.0964,4.095377639,221.742674,294.5736421,29.70885484,0.105405988,4.091357975,3.156135937,0.821968432,5.429235016
L3510944,3.2067094,101.8432667,Malaysia,177,3.70849061,-1.21875,7253.912109,3.860572289,0,23.16012573,9.531802177,0.8775931,0.001333723,28.59029961,17.72900009,10.86130047,22.91951942,23.30814171,23.6467762,22.59408379,2447,69.49690247,27.33699989,0.264658302,815.2495117,397.5360107,632.4118042,685.4763794,149.1074829,177.6999969,116.1600037,0.12129841,125.1070786,150.6133118,164.9496155,143.0559998,1.267257214,1.51305306,1.06328094,0.103554256,1.438938737,1.097702026,1.275460005,1.331940413,0,935.5445502,0.279448844,2007,1486429.702,358725.676,NA,NA,NA,22.11334189,0.109884555,3.289448847,2.922286433,0.701962843,4.998573193
L2679335,5.8535849,116.0421668,Malaysia,37,1.084866643,0.2890625,4713.677246,3.673359842,0,26.69443703,7.367269039,0.830189705,0.001415264,31.27420044,22.39999962,8.874199867,26.58979988,26.40421486,27.24858093,26.12867737,2726,75.09549713,21.16539955,0.313126266,897.5714111,355.6218872,702.7553711,492.6604004,156.7405548,184.4299927,143.7870026,0.083734684,145.2357635,168.9856873,168.6884613,152.3390808,1.333477855,1.570322037,1.041223049,0.120087497,1.508696079,1.092937469,1.329387426,1.210742235,0,15.98687748,7.349179526,2014,3121310.881,703099.7348,2.783053703,79.078125,205.5281049,5.690036521,0.114926697,0.68239232,1.706599438,0.170629846,2.830398467
L1906842,5.9557033,116.0417628,Malaysia,9,0.909624457,0.6875,344.9860535,2.537801538,0,26.69443703,7.367269039,0.830189705,0.001415264,31.27420044,22.39999962,8.874199867,26.58979988,26.40421486,27.24858093,26.12867737,2726,75.09549713,21.16539955,0.313126266,897.5714111,355.6218872,702.7553711,492.6604004,156.7405548,184.4299927,143.7870026,0.083734684,145.2357635,168.9856873,168.6884613,152.3390808,1.333477855,1.570322037,1.041223049,0.120087497,1.508696079,1.092937469,1.329387426,1.210742235,0,0.237853399,5.61802265,2000,3120725.66,715348.447,2.287959431,48.27777778,105.5676033,11.95430313,0.122832893,1.054776191,2.200709856,0.300755718,3.670555565
L1915564,5.9463326,116.0457945,Malaysia,15,0.68966341,0.2109375,NA,NA,0,26.69443703,7.367269039,0.830189705,0.001415264,31.27420044,22.39999962,8.874199867,26.58979988,26.40421486,27.24858093,26.12867737,2726,75.09549713,21.16539955,0.313126266,897.5714111,355.6218872,702.7553711,492.6604004,156.7405548,184.4299927,143.7870026,0.083734684,145.2357635,168.9856873,168.6884613,152.3390808,1.333477855,1.570322037,1.041223049,0.120087497,1.508696079,1.092937469,1.329387426,1.210742235,0,0.237853399,5.929823178,2000,3121259.561,714245.6723,2.898313406,247.9129073,133.5815535,10.67081109,0.123355037,0.943326574,2.085375449,0.279097347,3.518093562
L3409573,1.9501394,102.6336269,Malaysia,2,0.280416131,-0.125,19665.25,4.293699472,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.34654875,35.30288977,2007,1576471.444,218651.7797,3.152955545,111.734375,232.4457208,7.145134342,0.102211434,1.626490055,2.161656786,0.393505,3.501725034
L1049177,3.7164349,101.73666,Malaysia,1025,4.429837704,4.1796875,10463.52441,4.019677992,0,22.80659294,9.808695793,0.878813028,0.001477652,28.39999962,17.23870087,11.16129971,22.5556469,23.00716591,23.33655357,22.17373466,2653.000244,77.09649658,30.60779953,0.264977455,891.7755737,436.2330933,652.3845825,704.5045166,149.3687897,179,117,0.123004854,125.9375381,149.640152,163.5852356,148.5491486,1.304482698,1.586323977,1.088458896,0.110527925,1.497162938,1.120439649,1.286757588,1.345754623,0,0.042906494,0.505718344,1922,1473915.666,415625.0441,3.62228697,336.4055747,342.2195217,16.11576309,0.090054533,2.921890203,2.747533084,0.612245152,4.655676507
L3510950,3.4271052,101.7970204,Malaysia,1335,13.99365139,4.2109375,5689.40332,3.755066722,0,22.95169067,9.648907661,0.880270362,0.001335717,28.39999962,17.43869972,10.9612999,22.67354965,23.12478828,23.4309845,22.38173866,2583.999756,74.56479645,29.50270081,0.263078481,858.0601807,423.8453064,643.2276001,704.9428711,149.9280548,178.3699951,117.6399994,0.11909321,126.4355392,151.2133026,163.7969208,144.2399292,1.292740583,1.563336968,1.083360553,0.106712863,1.471611977,1.115994573,1.28296411,1.345928073,0,935.5445502,0.944779202,2007,1481009.376,383331.7009,2.824874111,123.2910053,248.5569902,26.3878007,0.123456576,3.643245578,3.004354051,0.75486253,5.157037024
