"station","flux_ptg","awf_ptg","flux_gtg","awf_gtg","flux_rst_ptp","awf_rst_ptp","flux_rst_ptp2","awf_rst_ptp2","med_dist"
L2215001,2.81108557816855,1863.6066926629,2.81108557816855,1863.6066926629,796.872889310696,8163165.87809877,796.872889310696,8163165.87809877,30
L3348868,11.6516142364476,8680.36542388804,11.6516142364476,8680.36542388804,5434.56157029108,153814396.123948,5434.56157029108,153814396.123948,30
L1346717,12.1433851436184,7379.83270791677,12.1433851436184,7379.83270791677,4301.87741281935,105460524.775266,4301.87741281935,105460524.775266,30
L5230512,2.86647986458891,1834.76710311433,2.86647986458891,1834.76710311433,748.639475541225,7311961.75761115,748.639475541225,7311961.75761115,30
L1320023,7.40465592283237,3871.38530174573,7.40465592283237,3871.38530174573,2525.37735874795,37196283.1169986,2525.37735874795,37196283.1169986,30
L1437433,6.66155701100926,6967.93815545656,6.66155701100926,6967.93815545656,3188.27476955914,73693783.02359,3188.27476955914,73693783.02359,30
L4373747,3.08672321119554,2087.88733020936,3.08672321119554,2087.88733020936,915.630668627729,10108562.5816501,915.630668627729,10108562.5816501,30
L15708087,2.87370813279503,1837.86102394456,2.87370813279503,1837.86102394456,749.190320590111,7315094.29024185,749.190320590111,7315094.29024185,30
L15900406,2.87436273153911,1839.55869410945,2.87436273153911,1839.55869410945,750.815823656758,7345231.20283406,750.815823656758,7345231.20283406,30
L5059188,5.14545919100124,3085.21399638819,5.14545919100124,3085.21399638819,1175.53270981703,15083260.1996623,1175.53270981703,15083260.1996623,30
L4190260,3.19564615376635,2200.4299327044,3.19564615376635,2200.4299327044,984.497415297116,11338456.7319769,984.497415297116,11338456.7319769,30
L2356004,5.24232736816034,2181.37304051854,4.45571561822426,2280.58043869185,1483.52410555476,11602642.0295438,1467.25312086827,11450443.3552559,30
L4050091,3.1821012277953,2190.12412387099,3.1821012277953,2190.12412387099,979.172867540761,11245800.3837056,979.172867540761,11245800.3837056,30
L3991252,2.90756046111205,1886.353565771,2.90756046111205,1886.353565771,771.573806742557,7647067.99862549,771.573806742557,7647067.99862549,30
L971358,7.70782569921103,7957.80125712813,7.70782569921103,7957.80125712813,3785.28184396437,97773830.0295997,3785.28184396437,97773830.0295997,30
L4046319,3.18689259722459,2189.8374443604,3.18689259722459,2189.8374443604,977.917799078534,11222584.6622253,977.917799078534,11222584.6622253,30
L15541845,2.83827815784505,1822.81781486309,2.83827815784505,1822.81781486309,734.844500938262,7075817.69953453,734.844500938262,7075817.69953453,30
L1320021,2.93026642552477,1946.04768346226,2.93026642552477,1946.04768346226,834.650732505937,8745470.37519721,834.650732505937,8745470.37519721,30
L4076250,3.07246129480626,2078.60096438295,3.07246129480626,2078.60096438295,911.28917343345,10036027.6670226,911.28917343345,10036027.6670226,30
L4046344,3.06720613420866,2078.26672998783,3.06720613420866,2078.26672998783,912.431067747212,10060464.9529808,912.431067747212,10060464.9529808,30
L3517482,3.4885424595767,2167.86861682806,3.4885424595767,2167.86861682806,901.26018296367,9774166.684241,901.26018296367,9774166.684241,30
L1834571,12.4532387916561,6374.68700567474,12.4532387916561,6374.68700567474,3367.25272702013,77234675.7996607,3367.25272702013,77234675.7996607,30
L7115394,2.40556104497327,1554.69209606503,2.40556104497327,1554.69209606503,623.921693378603,5505485.02237279,623.921693378603,5505485.02237279,30
L1229285,11.2108438745972,8191.32999594623,11.2108438745972,8191.32999594623,4943.01998386634,97679017.9011828,4943.01998386634,97679017.9011828,30
L14307410,2.76286077012677,1814.83653142702,2.76286077012677,1814.83653142702,767.455356914007,7688367.76556452,767.455356914007,7688367.76556452,30
L15121088,2.81255936345917,1852.37085063097,2.81255936345917,1852.37085063097,785.715379953759,7966368.23735116,785.715379953759,7966368.23735116,30
L10997855,2.76232616008719,1825.50328722519,2.76232616008719,1825.50328722519,777.863148654115,7868085.74863638,777.863148654115,7868085.74863638,30
L3297129,8.16932178790428,5490.53163358981,8.16932178790428,5490.53163358981,2529.88073357752,53286877.8913433,2529.88073357752,53286877.8913433,30
L4225511,2.91764513294244,1855.39655085763,2.91764513294244,1855.39655085763,592.357108258013,4891684.99999467,592.357108258013,4891684.99999467,30
L1333393,7.88872348289348,3195.09073086567,7.88872348289348,3195.09073086567,1417.78665981926,21574459.6024696,1417.78665981926,21574459.6024696,30
L4043203,3.07566297168673,2089.93204725944,3.07566297168673,2089.93204725944,920.385544172762,10203394.1426992,920.385544172762,10203394.1426992,30
L4342866,3.21374566242415,2209.03660959477,3.21374566242415,2209.03660959477,987.537089512584,11390252.7904381,987.537089512584,11390252.7904381,30
L7016655,7.78873088333268,3148.73008434708,7.78873088333268,3148.73008434708,1385.75204450579,20783509.1634978,1385.75204450579,20783509.1634978,30
L7011020,8.2016785242972,3361.63916457764,8.2016785242972,3361.63916457764,1539.62272256273,24638582.4291713,1539.62272256273,24638582.4291713,30
L3846512,7.29566080038454,7568.8511098581,7.29566080038454,7568.8511098581,3559.46595689148,88427812.7670549,3559.46595689148,88427812.7670549,30
L4054662,5.78818788377437,3712.48880205663,5.78818788377437,3712.48880205663,2090.64433521906,26043156.4838239,2090.64433521906,26043156.4838239,30
L6651966,2.66663062009663,1756.91752599075,2.66663062009663,1756.91752599075,746.631754132548,7396880.78819115,746.631754132548,7396880.78819115,30
L3891059,3.52830869500392,2217.57891239345,3.52830869500392,2217.57891239345,939.276705781773,10480449.483113,939.276705781773,10480449.483113,30
L1865894,5.71636225545514,3543.45161320737,5.71636225545514,3543.45161320737,1978.33459629326,23805300.1971968,1978.33459629326,23805300.1971968,30
L3547245,7.79868189999159,3196.41320991252,7.79868189999159,3196.41320991252,1418.80097753354,21594150.8780605,1418.80097753354,21594150.8780605,30
L4955523,3.25004653454854,2807.04540514274,3.25004653454854,2807.04540514274,1318.40321070745,17226256.3511035,1318.40321070745,17226256.3511035,30
L12366927,2.48672038288027,1619.3059561613,2.48672038288027,1619.3059561613,662.076060314252,6081168.6139864,662.076060314252,6081168.6139864,30
L14087870,2.61003857186404,1670.60682446203,2.61003857186404,1670.60682446203,678.156743729351,6259386.74462191,678.156743729351,6259386.74462191,30
L11949896,3.12549178273563,2123.78975017145,3.12549178273563,2123.78975017145,936.407098288668,10469031.3588673,936.407098288668,10469031.3588673,30
L12919659,2.71465169107703,1725.43654268455,2.71465169107703,1725.43654268455,693.028817364817,6462493.72192692,693.028817364817,6462493.72192692,30
L14303503,2.83001556006464,1868.89428801148,2.83001556006464,1868.89428801148,795.368168000491,8122299.73162101,795.368168000491,8122299.73162101,30
