"station","flux_ptg","awf_ptg","flux_gtg","awf_gtg","flux_rst_ptp","awf_rst_ptp","flux_rst_ptp2","awf_rst_ptp2","med_dist"
L2215001,38.3047721093012,23373.8662515655,38.3047721093012,23373.8662515655,22363.0495888341,2574702625.26165,22363.0495888341,2574702625.26165,100
L971362,56.7521669112466,32890.2264629296,56.7521669112466,32890.2264629296,32198.0407884427,4149490308.56976,32198.0407884427,4149490308.56976,100
L1346717,61.4615299029818,35455.6358647096,61.4615299029818,35455.6358647096,34104.505486189,4904057366.38655,34104.505486189,4904057366.38655,100
0
L3348868,60.8879194583967,36678.9550705191,60.8879194583967,36678.9550705191,35447.0605167788,5199871095.44834,35447.0605167788,5199871095.44834,100
L1865901,62.2448792273401,33373.2201008458,62.2448792273401,33373.2201008458,32006.897775066,4420760713.79434,32006.897775066,4420760713.79434,100
L3297129,58.1649380222007,31140.7707512414,58.1649380222007,31140.7707512414,28750.5837327221,3958380368.32118,28750.5837327221,3958380368.32118,100
L1084299,62.0976122179766,33689.8091716259,62.0976122179766,33689.8091716259,32082.0300389868,4574961647.6196,32082.0300389868,4574961647.6196,100
L1865894,29.7039651013105,17617.1707306535,29.7039651013105,17617.1707306535,16782.784668101,1657098592.55896,16782.784668101,1657098592.55896,100
L4076250,39.2733541610271,23957.6236348622,39.2733541610271,23957.6236348622,22948.8819386349,2656883857.56352,22948.8819386349,2656883857.56352,100
L3517482,40.6832031702364,24732.2790078649,40.6832031702364,24732.2790078649,23691.984815182,2768432117.63883,23691.984815182,2768432117.63883,100
L4046319,39.6676380236617,24183.8138031497,39.6676380236617,24183.8138031497,23166.5684540532,2685491781.7623,23166.5684540532,2685491781.7623,100
L15708087,38.6110134963871,23549.3881911212,38.6110134963871,23549.3881911212,22526.1545797926,2601275278.56529,22526.1545797926,2601275278.56529,100
L4050097,39.6035278519023,24146.3586616307,39.6035278519023,24146.3586616307,23129.467380833,2680196421.15616,23129.467380833,2680196421.15616,100
L3547245,49.4636581397319,29725.5412519368,49.4636581397319,29725.5412519368,28316.070376742,3477439970.82693,28316.070376742,3477439970.82693,100
L971358,45.7420320230438,32472.027299307,45.7420320230438,32472.027299307,31043.2445796397,3824869207.90199,31043.2445796397,3824869207.90199,100
L7773832,38.5813264940267,23531.5148110292,38.5813264940267,23531.5148110292,22507.8554510718,2598711974.66984,22507.8554510718,2598711974.66984,100
L10997855,38.1021501384612,23251.1732593654,38.1021501384612,23251.1732593654,22240.311132321,2556857369.32728,22240.311132321,2556857369.32728,100
L4050091,39.6403354913909,24168.7347752197,39.6403354913909,24168.7347752197,23152.0518489299,2683276505.18728,23152.0518489299,2683276505.18728,100
L3991252,38.9100007904797,23726.1003347541,38.9100007904797,23726.1003347541,22702.6594276646,2627106343.65049,22702.6594276646,2627106343.65049,100
L4373747,39.3302214712767,23991.1461914455,39.3302214712767,23991.1461914455,22981.7317550686,2661376464.16396,22981.7317550686,2661376464.16396,100
L11949896,39.4968240344567,24076.7499648931,39.4968240344567,24076.7499648931,23057.4001743016,2671407326.7944,23057.4001743016,2671407326.7944,100
L3891059,40.6139048306591,24701.9006235199,40.6139048306591,24701.9006235199,23666.878739936,2762658422.19147,23666.878739936,2762658422.19147,100
L6651966,37.6530918421864,22979.0665055237,37.6530918421864,22979.0665055237,21968.8581470682,2516510731.88852,21968.8581470682,2516510731.88852,100
L6818652,37.7092568890214,23008.8670928768,37.7092568890214,23008.8670928768,21984.7523231816,2521673076.22125,21984.7523231816,2521673076.22125,100
L3846512,45.1037523868854,31981.4059527657,45.1037523868854,31981.4059527657,30535.2670048508,3746371908.82515,30535.2670048508,3746371908.82515,100
