"station","awf_ptg","med_dist","taxon","PA_ours"
"L1783594",803.20919098028,10,"bird",0
"L1089168",803.545839895552,10,"bird",0
"L923936",1934.47391295459,10,"bird",1
"L1119692",91.965372143006,10,"bird",1
"L3409573",17.1030407968706,10,"bird",0
"L1915564",670.293799066586,10,"bird",0
"L1049177",2908.51609487191,10,"bird",0
"L1091515",8103.01460167536,10,"bird",1
"L2822716",376.583370300546,10,"bird",0
"L1119754",683.687852416621,10,"bird",0
"L1093106",1328.15458647196,10,"bird",1
"L3354988",10.4013763956863,10,"bird",0
"L2778060",2867.18242118809,10,"bird",0
"L3510950",2861.72474071567,10,"bird",0
"L1091511",8126.82795904058,10,"bird",1
"L1092374",4085.63041174403,10,"bird",0
"L1530638",1231.70897104165,10,"bird",0
"L3510052",5.84296684061114,10,"bird",0
"L2266711",2030.52470549233,10,"bird",0
"L1313532",626.215092146847,10,"bird",0
"L3515484",2890.79880317669,10,"bird",0
"L3008102",87.4112338199484,10,"bird",0
"L4189021",78.7655835945821,10,"bird",0
"L3346637",14.170019899003,10,"bird",0
"L3354985",13.4934121402352,10,"bird",0
"L3493997",7.68676655061483,10,"bird",0
"L2699172",2124.39111184065,10,"bird",0
"L4790539",774.290608593333,10,"bird",0
"L3042446",471.063530983022,10,"bird",0
"L3522352",2772.73586277032,10,"bird",0
"L6189454",1806.0368171686,10,"bird",1
"L1457993",1017.8272998965,10,"bird",1
"L4176225",49.0953581661856,10,"bird",0
"L3220747",4.23357962299296,10,"bird",0
"L4103041",735.068151172666,10,"bird",0
"L3960724",249.909468002983,10,"bird",0
"L924269",1540.04030143281,10,"bird",0
"L3081808",998.605166845919,10,"bird",0
"L4015102",13.4448275290583,10,"bird",0
"L920979",6354.65618282916,10,"bird",1
"L2822704",2082.89634027731,10,"bird",1
"L3797691",5.61716749480877,10,"bird",0
"L3460495",57.4630269730091,10,"bird",0
"L1093013",752.440215040942,10,"bird",0
"L2534212",82.0794352650552,10,"bird",0
"L2521949",2802.30827958411,10,"bird",0
"L3981946",97.4110898539316,10,"bird",0
"L3365035",753.431886116138,10,"bird",0
"L3262202",6219.26823181486,10,"bird",0
"L2715128",841.941714717567,10,"bird",0
"L2947261",10.6731925606808,10,"bird",0
"L4796841",6.61233262332008,10,"bird",0
"L2521761",6340.26399754748,10,"bird",0
"L7901178",47.5537517152504,10,"bird",0
"L3110381",171.314579189264,10,"bird",0
"L4673201",901.625845358638,10,"bird",0
"L3552649",7.61870061174479,10,"bird",0
"L4635419",47.773819314592,10,"bird",0
"L4353562",92.9016364481286,10,"bird",0
"L4515867",1169.74235817043,10,"bird",0
"L13312987",2073.61239901563,10,"bird",0
"L3395337",9.52677225027458,10,"bird",0
"L4112286",365.537271457912,10,"bird",0
"L2688240",1986.64327824411,10,"bird",0
"L3896798",461.579298162648,10,"bird",0
"L4177978",46.3818005391303,10,"bird",0
"L1119747",651.575442855721,10,"bird",0
"L923942",718.751984302328,10,"bird",1
"L1093111",1353.2253992191,10,"bird",1
"L1838144",2025.16308005026,10,"bird",1
"L3044620",77.4313568040409,10,"bird",0
"L4527087",4.51651786217286,10,"bird",0
"L3354992",7.31155884496593,10,"bird",0
"L3542477",100.61795249085,10,"bird",0
"L3355202",10.5371127101707,10,"bird",0
"L4543883",13.4870982185394,10,"bird",0
"L6370874",5.56325557773856,10,"bird",0
"L2711079",57.9517510627511,10,"bird",0
"L923940",94.3455708555077,10,"bird",1
"L3233220",116.616991675595,10,"bird",0
"L3302839",768.268553506643,10,"bird",0
"L5418710",650.22723224064,10,"bird",0
"L4482494",17.8760061785803,10,"bird",0
"L4787633",91.6604812469088,10,"bird",0
"L1987357",2169.33901173914,10,"bird",0
"L5860201",92.088165876885,10,"bird",0
"L1248549",61.1340678983314,10,"bird",1
"L4650364",2157.28193533851,10,"bird",0
"L1346438",41.0662592588156,10,"bird",0
"L4727880",23.8109636419631,10,"bird",0
"L3977507",5.97046985690071,10,"bird",0
"L5860567",2.31762831392915,10,"bird",0
"L4028235",2621.31666228845,10,"bird",0
"L3346038",3053.06780225174,10,"bird",1
"L5424425",848.261492854499,10,"bird",0
"L3330978",39.9798538431317,10,"bird",0
"L5621471",91.68540028635,10,"bird",0
"L2534228",638.374918473003,10,"bird",0
"L4728853",580.958896394233,10,"bird",0
"L6115129",8073.41024464378,10,"bird",1
"L5239524",1739.71097604024,10,"bird",0
"L2676074",932.096164253551,10,"bird",1
"L3328441",7.76193810701249,10,"bird",0
"L947233",146.287813409646,10,"bird",1
"L3323451",1852.48855737317,10,"bird",1
"L4990526",1949.24894318689,10,"bird",1
"L5242857",2080.11598520846,10,"bird",1
"L4326653",1864.74073004783,10,"bird",1
"L2797520",90.6924510098018,10,"bird",0
"L7158986",5.39046941606235,10,"bird",0
"L2866267",1712.76826900145,10,"bird",1
"L2522061",2866.10437672607,10,"bird",0
"L7240453",717.064084650502,10,"bird",0
"L2521920",3001.82984271449,10,"bird",0
"L4706561",2986.43948434934,10,"bird",0
"L2711083",8.77551258194556,10,"bird",0
"L5905406",766.365693220548,10,"bird",0
"L3865754",1471.22663633248,10,"bird",0
"L9794577",527.594782450272,10,"bird",0
"L11134699",8.09822590660683,10,"bird",0
"L11005654",9.30029432066924,10,"bird",0
"L4727928",110.213222934878,10,"bird",0
"L5987674",6.28625523676553,10,"bird",0
"L3221589",2710.91759050278,10,"bird",0
"L6616664",11475.2739375562,10,"bird",1
"L4111485",6.57051680453157,10,"bird",0
"L2778136",1825.86482350776,10,"bird",0
"L3249538",92.6463435874005,10,"bird",0
"L4728854",580.278430528869,10,"bird",0
"L4027909",516.444307600564,10,"bird",0
"L4331944",899.23091015813,10,"bird",0
"L5502736",1820.6174640795,10,"bird",1
"L4851575",2046.23390432669,10,"bird",1
"L1122477",15.2174978170133,10,"bird",0
"L4868301",91.4885445620037,10,"bird",0
"L4756790",142.008692312702,10,"bird",0
"L2709513",29.2384866879184,10,"bird",0
"L4028259",204.582174310965,10,"bird",0
"L3032371",356.128154123054,10,"bird",1
"L1315393",653.29731068248,10,"bird",0
"L4914939",928.590364300506,10,"bird",1
"L3480212",86.8557844837711,10,"bird",0
"L4659380",93.0969590092216,10,"bird",0
"L7866269",14.9981604012219,10,"bird",0
"L1122484",5961.12590152103,10,"bird",0
"L10199918",11460.6572877048,10,"bird",0
"L2109254",86.5484967807188,10,"bird",0
"L3272168",2062.89941407014,10,"bird",1
"L1092182",1743.40743735072,10,"bird",1
"L7405505",23.8423698025449,10,"bird",0
"L3450316",83.2810411842129,10,"bird",0
"L5203296",853.920446438588,10,"bird",0
"L4728991",82.9242415957182,10,"bird",0
"L7963564",479.683060661194,10,"bird",0
"L2309644",1161.13631027597,10,"bird",0
"L7955713",369.109315930321,10,"bird",0
"L4028239",2659.30387258899,10,"bird",0
"L8379113",5.92400943678188,10,"bird",0
"L8713769",6.03320618466014,10,"bird",0
"L8111132",5.8460210075239,10,"bird",0
"L3136440",123.676559212595,10,"bird",0
"L4730024",140.709847374226,10,"bird",0
"L8278391",2186.51259290031,10,"bird",0
"L5621826",93.9442929450067,10,"bird",0
"L8307956",2183.41880425402,10,"bird",0
"L4706571",2457.01936083741,10,"bird",0
"L5502760",1919.98031633647,10,"bird",1
"L2822705",2079.4737688319,10,"bird",1
"L3519482",6354.94161364387,10,"bird",1
"L9931895",11074.7194921714,10,"bird",0
"L2589348",1057.45116393223,10,"bird",1
"L4688937",2975.45083765813,10,"bird",0
"L961058",234.126998976245,10,"bird",0
"L12207982",1028.43972984804,10,"bird",0
"L10747641",1025.6971095724,10,"bird",0
"L11589271",5.74652545728338,10,"bird",0
"L11005461",1638.95034825071,10,"bird",0
"L4054475",3861.92391965247,10,"bird",0
"L2900771",6353.95206944643,10,"bird",1
"L1207038",1387.47720198383,10,"bird",1
"L7641999",1128.68815190791,10,"bird",0
"L4134495",13.7414083999698,10,"bird",0
"L3050921",10.3432851951574,10,"bird",0
"L10716254",2.3623023384867,10,"bird",0
"L4727936",1.56775675986475,10,"bird",0
"L9705725",8.21958150736131,10,"bird",0
"L4688873",2873.66054581602,10,"bird",0
"L4335113",2.42256785001427,10,"bird",0
"L9863254",17.6965987478836,10,"bird",0
"L3437622",2876.10497645621,10,"bird",0
"L10756349",1811.58323474449,10,"bird",0
"L11027232",47.547370503168,10,"bird",0
"L10998686",7.53109103881004,10,"bird",0
"L2422371",3090.20028643909,10,"bird",0
"L3355235",8.44007089617313,10,"bird",0
"L4728728",692.745637757066,10,"bird",0
"L11067932",1711.43115232946,10,"bird",0
"L6515430",1890.31091040081,10,"bird",1
"L2694556",8102.47064182571,10,"bird",1
"L13733593",8.14126301024807,10,"bird",0
"L13603092",185.260732496676,10,"bird",0
"L3545428",132.767251506778,10,"bird",1
"L11941043",6.75255475333977,10,"bird",0
"L12374210",123.861990396669,10,"bird",0
"L11667978",638.724683300402,10,"bird",0
"L3081815",362.186212375704,10,"bird",0
"L13060755",1520.5925954151,10,"bird",0
"L8290378",1897.58232736741,10,"bird",0
"L7249624",232.186178431795,10,"bird",0
"L13978706",2109.9881952878,10,"bird",0
"L13500621",85.6163267491438,10,"bird",0
"L13848991",2214.61371703612,10,"bird",0
"L15054503",140.050160939432,10,"bird",0
"L3141785",50.1633699805408,10,"bird",0
"L14375714",1821.77825463809,10,"bird",0
"L13248323",1809.18796036184,10,"bird",1
"L3345783",39.1326761834323,10,"bird",0
"L934775",48.8607613851536,10,"bird",0
"L1403135",32.2113625734899,10,"bird",0
"L952084",43.3146768463882,10,"bird",0
"L1403154",35.1416611550493,10,"bird",0
"L1337067",19.0297385501175,10,"bird",0
"L13256022",1809.19119192549,10,"bird",1
"L1481777",48.9930908166702,10,"bird",1
"L927971",46.8038372781436,10,"bird",1
"L7022434",1930.40603362521,10,"bird",0
"L11005647",9.81761188539209,10,"bird",0
"L13256167",387.254663781218,10,"bird",0
"L7716023",1345.29246571193,10,"bird",0
"L1459790",24.9165600759253,10,"bird",0
"L3914189",51.7284899152685,10,"bird",0
"L1456256",49.6527598051482,10,"bird",0
"L3901631",30.776805035987,10,"bird",0
"L6432873",36.4448480489543,10,"bird",0
"L948628",36.2738587135638,10,"bird",0
"L6001945",48.3210150232352,10,"bird",0
"L1074623",49.3490704844637,10,"bird",0
"L5286543",46.8911606219881,10,"bird",0
"L5229501",41.9079583630571,10,"bird",0
"L1479678",48.1620127495049,10,"bird",0
"L3267940",45.6426872244768,10,"bird",0
"L2534686",38.2821076278857,10,"bird",0
"L6353313",42.7548392885318,10,"bird",0
"L3901811",42.1101756733376,10,"bird",0
"L1055540",20.0359037683852,10,"bird",0
"L6021430",47.2610605135744,10,"bird",0
"L4507313",46.2396651575364,10,"bird",0
"L6058646",42.7868460048771,10,"bird",0
"L1073968",50.0799201150765,10,"bird",1
"L6008975",44.2644707580811,10,"bird",0
"L4314141",25.6846324969308,10,"bird",0
"L987628",50.9361042088977,10,"bird",1
"L6110679",50.6671922156616,10,"bird",0
"L6020593",48.9277516513726,10,"bird",0
"L1322316",43.4654445327475,10,"bird",0
"L4139944",41.218947448659,10,"bird",0
"L4685319",35.9605961592691,10,"bird",0
"L3901781",24.9587081050289,10,"bird",0
"L4631987",41.9338884526592,10,"bird",0
"L6353187",45.9436560860802,10,"bird",0
"L7158843",55.9356493630851,10,"bird",0
"L6052990",37.1069094777715,10,"bird",0
"L5929758",48.6787303938353,10,"bird",0
"L6864233",50.3436451762257,10,"bird",0
"L6768151",45.3778988964841,10,"bird",0
