"station","flux_ptg","awf_ptg","flux_gtg","awf_gtg","flux_rst_ptp","awf_rst_ptp","flux_rst_ptp2","awf_rst_ptp2","med_dist"
"L1346717",0.906763519264837,40756.9901789554,0.906763519264837,40756.9901789554,343.829528783375,1117789.79807475,343.829528783375,1117789.79807475,10
"L3348868",0.892092054458877,54104.4237575237,0.892092054458877,54104.4237575237,548.442653645373,2800348.18951327,548.442653645373,2800348.18951327,10
"L4043203",0,0,0,0,0,0,0,0,10
"L4046319",0,0,0,0,0,0,0,0,10
"L4050091",0,0,0,0,0,0,0,0,10
"L4050097",0,0,0,0,0,0,0,0,10
"L1834625",1,60648.9246116448,0,0,974.016063885064,5876238.91341859,0,0,10
"L971358",0.895377655686612,54303.6919386886,0.895377655686612,54303.6919386886,298.207855686341,619377.716260531,298.207855686341,619377.716260531,10
"L2215001",0,0,0,0,0,0,0,0,10
"L1834392",1.06862342920432,60649.6006356283,0.999992116549687,9.85113483845573,962.96040800893,5147986.34121574,1.41689496617116,34.0054791881079,10
"L1428859",1.45626922091091,14392.8100915209,0.751050780491297,20890.9227038751,309.486796257841,725437.050428379,187.029713707697,403236.062753795,10
"L3991252",0,0,0,0,0,0,0,0,10
"L1320021",0,0,0,0,0,0,0,0,10
"L3517482",0,0,0,0,0,0,0,0,10
"L4076250",0,0,0,0,0,0,0,0,10
"L4373747",0,0,0,0,0,0,0,0,10
"L1229285",0.707185720504944,42890.053449336,0.707185720504944,42890.053449336,801.914759862576,4939794.92075347,801.914759862576,4939794.92075347,10
"L1865894",1.56703619081895,1204.74207727209,1.56703619081895,1204.74207727209,309.887522958031,664398.849222019,309.887522958031,664398.849222019,10
"L1125873",1.48117831218628,11442.1825514024,0.751050780491297,20890.9227038751,330.688904717273,833005.350982809,203.848695294736,475171.308732031,10
"L1333393",0.633215184275589,142.415328078324,0.633215184275589,142.415328078324,35.9262414105645,9376.74900815733,35.9262414105645,9376.74900815733,10
"L3297129",0.265019159193188,909.454261330226,0.265019159193188,909.454261330226,109.329272399324,140269.456488333,109.329272399324,140269.456488333,10
"L1084299",1.43275592566627,8405.07802969071,1.43275592566627,8405.07802969071,345.182700346738,940277.675744515,345.182700346738,940277.675744515,10
"L971293",1.47668267997187,13292.8276322256,0.751050780491297,20890.9227038751,319.070305650315,762258.960198603,193.5097147599,425914.882186539,10
"L920991",1.50154291832578,10919.9921308224,0.751050780491297,20890.9227038751,333.494389994041,856080.099114702,209.984516467805,499553.164676908,10
"L3712816",1,60648.9246116448,0,0,1098.72154133748,8200857.58454292,0,0,10
"L3547245",0.576279080820474,28.3033062874449,0.576279080820474,28.3033062874449,33.7364385447717,8400.37319764814,33.7364385447717,8400.37319764814,10
