"Variable","SR.Birds","FR.Birds","PD.Birds","SR.Mammals","FR.Mammals","PD.Mammals"
"R<SUP>2</SUP>","0.33","0.31","0.30","0.39","0.27","0.36"
"(Intercept)","109.43<br>(15.95; 0.00)","203.45<br>(15.32; 0.00)","2.80<br>(0.25; 0.00)","9.86<br>(1.79; 0.00)","12.91<br>(1.20; 0.00)","2.14<br>(0.19; 0.00)"
"Forest canopy height","31.25<br>(2.94; 0.00)","38.76<br>(3.05; 0.00)","0.21<br>(0.04; 0.00)","0.42<br>(0.34; 0.21)","2.49<br>(0.48; 0.00)","0.13<br>(0.03; 0.00)"
"Site accessibility","13.30<br>(3.27; 0.00)","-7.71<br>(3.57; 0.03)","-0.18<br>(0.04; 0.00)","-0.23<br>(0.54; 0.67)","-0.91<br>(0.73; 0.21)","-0.02<br>(0.06; 0.77)"
"HDI","-9.81<br>(12.66; 0.47)","-22.90<br>(12.15; 0.11)","-0.04<br>(0.20; 0.84)","-0.00<br>(1.24; 1.00)","1.33<br>(1.19; 0.33)","0.14<br>(0.13; 0.34)"
"PA size","3.61<br>(5.05; 0.48)","22.18<br>(6.13; 0.00)","0.27<br>(0.07; 0.00)","0.95<br>(0.73; 0.19)","1.23<br>(0.87; 0.16)","0.07<br>(0.07; 0.34)"
"Distance to PA (binary)","5.61<br>(7.05; 0.43)","14.98<br>(7.15; 0.04)","0.12<br>(0.09; 0.15)","-0.41<br>(0.79; 0.61)","0.66<br>(1.13; 0.56)","0.07<br>(0.08; 0.38)"
"Reproduce","28.0% (0.00; 1.81)","17.3% (0.00; 2.70)","9.7% (0.00; 0.03)","6.9% (0.00; 0.10)","4.5% (0.00; 0.17)","5.8% (0.00; 0.02)"
"Replicate","26.4% (0.00; 2.07)","25.4% (0.00; 3.13)","12.7% (0.00; 0.03)","-6.8% (0.00; 0.12)","-0.8% (0.53; 0.17)","6.3% (0.00; 0.01)"
