"Variable","SR.Birds","FR.Birds","PD.Birds","SR.Mammals","FR.Mammals","PD.Mammals"
"R<SUP>2</SUP>","0.21","0.29","0.30","0.33","0.33","0.48"
"(Intercept)","139.40<br>(10.61; 0.00)","218.11<br>(8.96; 0.00)","3.14<br>(0.25; 0.00)","9.55<br>(1.27; 0.00)","10.48<br>(1.82; 0.00)","2.09<br>(0.26; 0.00)"
"Forest canopy height","27.01<br>(2.67; 0.00)","44.82<br>(2.88; 0.00)","0.16<br>(0.04; 0.00)","0.12<br>(0.22; 0.57)","0.97<br>(0.36; 0.01)","0.05<br>(0.03; 0.12)"
"Site accessibility","12.33<br>(2.24; 0.00)","8.24<br>(2.40; 0.00)","-0.07<br>(0.03; 0.01)","-0.46<br>(0.34; 0.17)","-0.27<br>(0.55; 0.63)","-0.01<br>(0.04; 0.88)"
"HDI","-5.56<br>(8.08; 0.51)","-18.99<br>(6.90; 0.03)","-0.01<br>(0.19; 0.95)","-0.42<br>(0.85; 0.65)","0.84<br>(1.27; 0.55)","0.12<br>(0.17; 0.51)"
"PA","19.60<br>(5.78; 0.00)","11.85<br>(6.30; 0.06)","0.28<br>(0.08; 0.00)","-0.00<br>(0.49; 1.00)","0.67<br>(0.79; 0.39)","0.01<br>(0.06; 0.83)"
"Reproduce","39.0% (0.00; 1.20)","34.4% (0.00; 1.72)","18.0% (0.00; 0.02)","-5.8% (0.00; 0.07)","-4.1% (0.00; 0.11)","4.6% (0.00; 0.01)"
"Replicate","36.9% (0.00; 1.36)","33.5% (0.00; 2.07)","16.8% (0.00; 0.02)","-6.2% (0.00; 0.07)","8.5% (0.00; 0.10)","6.5% (0.00; 0.01)"
